1,103/11/17,營利事業捐贈收入,金品商行,87824635,4600,,否,中正路號****
2,103/11/16,營利事業捐贈收入,聯美廣告社,39868129,6000,,是,南投縣草屯鎮
3,103/11/01,營利事業捐贈收入,飾鴻實業有限公司,86339608,100000,,是,南投縣草屯鎮
4,103/10/30,營利事業捐贈收入,飾鴻實業有限公司,86339608,100000,,是,南投縣草屯鎮
